id,created_at,text,edit_history_tweet_ids
1995480245286187212,2025-12-01T13:08:59.000Z,"RT @idextratime: 🚨 UPDATE : Jumlah korban jiwa banjir bandang yang menerjang Aceh, Sumatera Utara, Sumatera Barat per hari Senin (1/12) puk…",['1995480245286187212']
1995480244569133320,2025-12-01T13:08:59.000Z,"RT @Cilorconnoistre: Yang terjadi di Indo:
-Banjir &amp; longsor
-Orang mati &amp; ilang
-Satwa &amp; orang tergusur
-Satwa terancam punah

Yang dilaku…",['1995480244569133320']
1995480238914990473,2025-12-01T13:08:57.000Z,"RT @idextratime: 🚨 UPDATE : Jumlah korban jiwa banjir bandang yang menerjang Aceh, Sumatera Utara, Sumatera Barat per hari Senin (1/12) puk…",['1995480238914990473']
1995480234016022891,2025-12-01T13:08:56.000Z,"RT @idextratime: 🚨 UPDATE : Jumlah korban jiwa banjir bandang yang menerjang Aceh, Sumatera Utara, Sumatera Barat per hari Senin (1/12) puk…",['1995480234016022891']
1995480233827291219,2025-12-01T13:08:56.000Z,"RT @niwseir: Siapapun yang mendalangi, membiayai dan terlibat di sini, blood is on your hand.
Tiap kebakaran, tiap banjir, tiap longsor, ti…",['1995480233827291219']
1995480230195077373,2025-12-01T13:08:55.000Z,"[SIARAN PERS]
JAKARTA – 1 Desember 2025 – Pertama-tama, MPBI menyampaikan keprihatinan mendalam atas kejadian banjir dan longsor yang melanda Aceh, Sumatera Utara, dan Sumatera Barat sejak 29 November 2025. https://t.co/K9aBSyKyeF",['1995480230195077373']
1995480229461348503,2025-12-01T13:08:55.000Z,"RT @saturngguk: Fyi, anggaran bencana kita dipangkas sama pemerintah, dan totalnya sekarang malah lebih rendah daripada anggaran MBG untuk…",['1995480229461348503']
1995480226202030148,2025-12-01T13:08:54.000Z,"RT @DoankWarto: Kata TNI, Banjir Sumut tidak ada penggundulan hutan gaes !!
Menurut kalian bagaimana ?",['1995480226202030148']
1995480225526796669,2025-12-01T13:08:54.000Z,"RT @amandasah__: Gubernur Aceh, Mualem, menangis melihat dampak banjir bandang yang menghantam wilayahnya. Beberapa desa hilang seketika, m…",['1995480225526796669']
1995480223911923718,2025-12-01T13:08:54.000Z,"Innalillahi wa inna ilaihi roji’un.
HIMASKA FMIPA UNRI turut menyampaikan rasa duka yang mendalam atas musibah bencana alam yang terjadi di berbagai wilayah Pulau Sumatera. Bencana banjir, longsor, dan kerusakan lainnya yang menimpa saudara-saudara kita menjadi",['1995480223911923718']
